case:concept:name,concept:name,org:resource,start:timestamp,time:timestamp,Span,Ordered,Part,Worker ID,Report Type,Completed,Rejected,MRB,Rework
Case 177,Lapping - Machine 1,Machine 1 - Lapping,2012-01-04 08:20:00,2012-01-04 10:25:00,002:05,151,Cable Head,ID0998,D,7,0,0,
Case 177,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-08 13:21:00,2012-01-08 15:08:00,001:47,151,Cable Head,ID4385,S,0,0,0,
Case 177,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-08 15:09:00,2012-01-08 15:57:00,000:48,151,Cable Head,ID4385,D,2,0,0,
Case 177,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-08 15:59:00,2012-01-08 22:13:00,006:14,151,Cable Head,ID4355,D,12,0,0,
Case 177,Final Inspection Q.C.,Quality Check 1,2012-01-17 07:00:00,2012-01-17 08:40:00,001:40,151,Cable Head,ID4163,D,0,0,0,
Case 177,Final Inspection Q.C.,Quality Check 1,2012-01-17 09:00:00,2012-01-17 12:50:00,003:50,151,Cable Head,ID4163,D,0,0,0,
Case 177,Final Inspection Q.C.,Quality Check 1,2012-01-18 07:00:00,2012-01-18 08:00:00,001:00,151,Cable Head,ID4163,D,0,4,0,
Case 177,Final Inspection Q.C.,Quality Check 1,2012-01-18 08:00:00,2012-01-18 08:40:00,000:40,151,Cable Head,ID4163,D,0,4,0,
Case 177,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-02-12 13:42:00,2012-02-12 14:55:00,001:13,151,Cable Head,ID4872,D,0,0,0,
Case 177,Packing,Packing,2012-02-13 00:00:00,2012-02-13 01:00:00,000:00,151,Cable Head,ID4820,D,7,0,0,
Case 177,Final Inspection Q.C.,Quality Check 1,2012-02-13 09:15:00,2012-02-13 10:15:00,001:00,151,Cable Head,ID4163,D,7,0,0,
Case 177,Lapping - Machine 1,Machine 1 - Lapping,2012-03-30 00:00:00,2012-03-30 01:15:00,000:00,151,Cable Head,ID4163,D,0,1,0,
Case 178,Round Grinding - Machine 3,Machine 3 - Round Grinding,2012-01-02 00:00:00,2012-01-02 04:50:00,004:50,250,Cable Head,ID4445,D,31,0,0,
Case 178,Round Grinding - Machine 2,Machine 2 - Round Grinding,2012-01-02 10:00:00,2012-01-02 11:00:00,001:00,250,Cable Head,ID4355,S,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-11 22:51:00,2012-01-11 23:47:00,000:56,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-15 08:08:00,2012-01-15 13:30:00,005:22,250,Cable Head,ID4872,D,0,0,0,
Case 178,Lapping - Machine 1,Machine 1 - Lapping,2012-01-15 10:13:00,2012-01-15 15:12:00,004:59,250,Cable Head,ID4882,D,0,0,0,
Case 178,Lapping - Machine 1,Machine 1 - Lapping,2012-01-15 10:20:00,2012-01-15 17:27:00,007:07,250,Cable Head,ID0998,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-16 06:57:00,2012-01-16 10:47:00,003:50,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 2,Machine 2 - Round Grinding,2012-01-16 10:14:00,2012-01-16 15:43:00,005:29,250,Cable Head,ID4355,D,22,0,0,
Case 178,Grinding Rework - Machine 2,Machine 2 - Round Grinding,2012-01-16 16:33:00,2012-01-16 23:40:00,007:07,250,Cable Head,ID4385,D,0,0,0,
Case 178,Fix - Machine 19,Machine 25 - Grinding,2012-01-16 23:52:00,2012-01-17 06:37:00,006:45,250,Cable Head,ID4528,D,0,0,0,
Case 178,Grinding Rework - Machine 2,Machine 2 - Round Grinding,2012-01-17 06:53:00,2012-01-17 16:03:00,009:10,250,Cable Head,ID4355,D,0,0,0,
Case 178,Grinding Rework - Machine 2,Machine 2 - Round Grinding,2012-01-19 06:51:00,2012-01-19 10:52:00,004:01,250,Cable Head,ID4355,D,20,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-20 09:11:00,2012-01-20 12:54:00,003:43,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-23 16:09:00,2012-01-23 16:18:00,000:09,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-24 16:06:00,2012-01-24 18:07:00,002:01,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-25 16:10:00,2012-01-25 21:27:00,005:17,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-29 08:21:00,2012-01-29 09:29:00,001:08,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-01-30 07:12:00,2012-01-30 07:30:00,000:18,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-02-09 10:02:00,2012-02-09 10:49:00,000:47,250,Cable Head,ID4528,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-02-16 11:11:00,2012-02-16 16:10:00,004:59,250,Cable Head,ID4872,D,0,0,0,
Case 178,Grinding Rework - Machine 27,Machine 27 - Grinding,2012-03-07 15:20:00,2012-03-07 18:00:00,002:40,250,Cable Head,ID4528,D,0,0,0,
